text	count	kinds	refs
浅蓝小清新	1	literal	src/store/slides.ts:63
浏览器不支持或禁止访问剪贴板，请使用快捷键 Ctrl + V	1	literal	src/utils/clipboard.ts:39
浮入	1	literal	src/configs/animation.ts:23
浮出	1	literal	src/configs/animation.ts:114
深邃沉稳	1	literal	src/store/slides.ts:62
添加图片 - 在画布中粘贴SVG代码	1	literal	src/configs/hotkey.ts:143
添加图片 - 将本地图片拖拽到画布中	1	literal	src/configs/hotkey.ts:142
添加图片 - 粘贴来自 pexels 的图片链接	1	literal	src/configs/hotkey.ts:144
添加图片 - 粘贴来自系统剪贴板的图片	1	literal	src/configs/hotkey.ts:141
添加子级大纲（章）	1	literal	src/components/OutlineEditor.vue:199
添加子级大纲（节）	1	literal	src/components/OutlineEditor.vue:211
添加子级大纲（项）	1	literal	src/components/OutlineEditor.vue:227
添加幻灯片	1	template	src/views/Editor/Thumbnails/index.vue:8
添加文本 - 将外部选中文字拖拽到画布中	1	literal	src/configs/hotkey.ts:146
添加文本 - 粘贴来自系统剪贴板的文字	1	literal	src/configs/hotkey.ts:145
清除格式	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:141
滑入	1	literal	src/configs/animation.ts:62
滑出	1	literal	src/configs/animation.ts:153
演示文稿生成中，请稍等 ...	1	literal	src/views/Editor/AIPPTDialog.vue:231
点	1	literal	src/configs/imageClip.ts:134
点击替换线条类型	1	template	src/views/Editor/Toolbar/ElementStylePanel/LineStylePanel.vue:4
画布宽高需在 ${VIEWPORT_SIZE_MIN} ~ ${VIEWPORT_SIZE_MAX} 之间	1	literal	src/views/Editor/Toolbar/SlideDesignPanel/ViewportSizeSetting.vue:63
目录	1	literal	src/views/Editor/Thumbnails/Templates.vue:68
直角三角形	1	literal	src/configs/imageClip.ts:70
着色（蒙版）：	1	template	src/views/Editor/Toolbar/common/ElementColorMask.vue:4
矩形2	1	literal	src/configs/imageClip.ts:35
矩形3	1	literal	src/configs/imageClip.ts:43
确定	1	template	src/components/LaTeXEditor/index.vue:56
确认	1	template	src/views/Editor/Toolbar/common/RichTextBase.vue:157
确认下方内容大纲（点击编辑内容，右键添加/删除大纲项），开始选择模板	1	template	src/views/Editor/AIPPTDialog.vue:6
确认图片裁剪	1	literal	src/configs/hotkey.ts:105
社交媒体与品牌营销	1	literal	src/views/Editor/AIPPTDialog.vue:165
禁用	1	literal	src/views/Editor/Canvas/index.vue:282
移动	1	literal	src/configs/hotkey.ts:95
移动焦点单元格	1	literal	src/configs/hotkey.ts:113
移动画布	1	literal	src/configs/hotkey.ts:76
竖向文本框	1	template	src/views/Editor/CanvasTool/index.vue:41
章	1	literal	src/components/OutlineEditor.vue:341
第一列	1	template	src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:174
简约绿意	1	literal	src/store/slides.ts:60
类别${rowIndex}	1	literal	src/components/ChartDataEditor.vue:209
粘贴为纯文本	1	literal	src/configs/hotkey.ts:49
精简	1	template	src/views/Editor/Toolbar/common/RichTextBase.vue:131
精简提炼	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:131
系列${colIndex}	1	literal	src/components/ChartDataEditor.vue:215
系列${i + 1}	1	literal	src/hooks/useExport.ts:767
纯图版	1	template	src/views/Editor/ExportDialog/ExportPPTX.vue:33
纵横比（横向）	1	literal	src/views/Editor/Toolbar/ElementStylePanel/ImageStylePanel.vue:110
纵横比（正方形）	1	literal	src/views/Editor/Toolbar/ElementStylePanel/ImageStylePanel.vue:95
纵横比（纵向）	1	literal	src/views/Editor/Toolbar/ElementStylePanel/ImageStylePanel.vue:101
线条样式：	1	template	src/views/Editor/Toolbar/ElementStylePanel/LineStylePanel.vue:52
结束	1	literal	src/views/Editor/Thumbnails/Templates.vue:71
绕右上进入	1	literal	src/configs/animation.ts:46
绕右上退出	1	literal	src/configs/animation.ts:137
绕右下进入	1	literal	src/configs/animation.ts:44
绕右下退出	1	literal	src/configs/animation.ts:135
绕左上进入	1	literal	src/configs/animation.ts:45
绕左上退出	1	literal	src/configs/animation.ts:136
绕左下进入	1	literal	src/configs/animation.ts:43
绕左下退出	1	literal	src/configs/animation.ts:134
编号	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:215
编辑数据	1	template	src/views/Editor/Canvas/ElementFloatLayer/FloatingToolbar/ChartToolbar.vue:5
缩小滑出	1	literal	src/configs/animation.ts:171
缩小画布	1	literal	src/configs/hotkey.ts:79
缩小退出	1	literal	src/configs/animation.ts:144
缩放画布	1	literal	src/configs/hotkey.ts:77
网页链接	1	literal	src/views/Editor/Canvas/LinkDialog.vue:85
置底层	1	literal	src/configs/hotkey.ts:100
置顶层	1	literal	src/configs/hotkey.ts:99
美化	1	template	src/views/Editor/Toolbar/common/RichTextBase.vue:129
美化改写	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:129
职场风	1	literal	src/views/Editor/AIPPTDialog.vue:49
聚焦到下一个单元格	1	literal	src/configs/hotkey.ts:112
聚焦到下一行	1	literal	src/configs/hotkey.ts:123
背景颜色：	1	template	src/views/Editor/Toolbar/SlideDesignPanel/ThemeStylesExtract.vue:37
脉搏	1	literal	src/configs/animation.ts:209
自动	1	literal	src/views/Editor/Toolbar/ElementStylePanel/LineStylePanel.vue:163
自动播放：	1	template	src/views/Editor/Toolbar/ElementStylePanel/VideoStylePanel.vue:23
自定义画布尺寸	1	template	src/views/Editor/Toolbar/SlideDesignPanel/ViewportSizeSetting.vue:3
自定义配色	1	template	src/views/Editor/Toolbar/ElementStylePanel/ChartStylePanel/index.vue:92
自由绘制	1	template	src/views/Editor/CanvasTool/index.vue:58
节	1	literal	src/components/OutlineEditor.vue:344
英文	1	literal	src/views/Editor/AIPPTDialog.vue:35
菱形	1	literal	src/configs/imageClip.ts:86
营销风	1	literal	src/views/Editor/AIPPTDialog.vue:51
蒙版颜色：	1	template	src/views/Editor/Toolbar/common/ElementColorMask.vue:14
行数：	1	template	src/views/Editor/CanvasTool/TableGenerator.vue:29
表格 {{endCell.length ? `${endCell[0]} x ${endCell[1]}` : ''}}	1	template	src/views/Editor/CanvasTool/TableGenerator.vue:4
表格编辑	1	literal	src/configs/hotkey.ts:110
表格至少保留一列	1	literal	src/views/components/element/TableElement/EditableTable.vue:695
表格至少保留一行	1	literal	src/views/components/element/TableElement/EditableTable.vue:691
裁剪	1	template	src/views/Editor/Canvas/ElementFloatLayer/FloatingToolbar/ImageToolbar.vue:5
裁剪图片	1	template	src/views/Editor/Toolbar/ElementStylePanel/ImageStylePanel.vue:11
触发方式：	1	template	src/views/Editor/Toolbar/ElementAnimationPanel.vue:91
设置首帧为封面	1	template	src/views/Editor/Toolbar/ElementStylePanel/VideoStylePanel.vue:14
请先选择链接目标	1	literal	src/hooks/useLink.ts:18
请输入搜索关键词	1	literal	src/views/Editor/ImageLibPanel.vue:121
请输入网页链接地址	1	literal	src/views/Editor/Canvas/LinkDialog.vue:14
请输入超链接	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:154
超链接	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:165
路径绘制	1	template	src/views/Editor/CanvasTool/index.vue:57
过渡	1	literal	src/views/Editor/Thumbnails/Templates.vue:69
追加三次曲线	1	literal	src/views/Editor/CanvasTool/SVGPathEditor.vue:553
追加二次曲线	1	literal	src/views/Editor/CanvasTool/SVGPathEditor.vue:549
追加弧线	1	literal	src/views/Editor/CanvasTool/SVGPathEditor.vue:557
追加直线	1	literal	src/views/Editor/CanvasTool/SVGPathEditor.vue:545
退出放映	1	literal	src/configs/hotkey.ts:69
退出绘制状态	1	literal	src/configs/hotkey.ts:89
适应屏幕	1	template	src/views/Editor/CanvasTool/index.vue:137
选中元素	1	literal	src/views/Editor/NotesPanel.vue:65
选中全部单元格	1	literal	src/views/components/element/TableElement/EditableTable.vue:780
选中当前列	1	literal	src/views/components/element/TableElement/EditableTable.vue:772
选中当前行	1	literal	src/views/components/element/TableElement/EditableTable.vue:776
选中段落	1	literal	src/configs/hotkey.ts:135
选择（${activeElementIdList.length}/${currentSlide.elements.length}）	1	literal	src/views/Editor/SelectPanel.vue:6
都市蓝调	1	literal	src/store/slides.ts:57
锁定宽高比例	1	literal	src/configs/hotkey.ts:101
闪烁	1	literal	src/configs/animation.ts:208
阴影颜色：	1	template	src/views/Editor/Toolbar/common/ElementShadow.vue:44
阿里巴巴普惠体	1	literal	src/configs/font.ts:11
霞鹜文楷	1	literal	src/configs/font.ts:8
霞鹜新晰黑	1	literal	src/configs/font.ts:10
霞鹜新致宋	1	literal	src/configs/font.ts:9
项目符号	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:190
预置图表主题：	1	template	src/views/Editor/Toolbar/ElementStylePanel/ChartStylePanel/index.vue:69
预览：	1	template	src/views/Editor/Canvas/LinkDialog.vue:26
预设形状	1	template	src/views/Editor/CanvasTool/index.vue:56
颜色：	1	template	src/views/Editor/Toolbar/ElementStylePanel/LatexStylePanel.vue:10
飞入	1	literal	src/configs/animation.ts:90
飞出	1	literal	src/configs/animation.ts:181
餐饮市场调查与研究	1	literal	src/views/Editor/AIPPTDialog.vue:163
默认字体	1	literal	src/configs/font.ts:2
鼠标上滚 / PgUp	1	literal	src/configs/hotkey.ts:83
鼠标下滚 / PgDown	1	literal	src/configs/hotkey.ts:84
鼠标右键	1	literal	src/configs/hotkey.ts:89
